EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
50816,WASHTENAW CO.,DEXTER,07/19/2007,1430,Thunderstorm Wind,61.00, ,0,0,3000,0,MI,EST-5,EG,8908,C,161,DTX,0,0,Public, , , ,6,N,6,N,DEXTER,42.4167,-83.87,42.4167,-83.87,1
50813,WASHTENAW CO.,DEXTER,07/19/2007,1435,Thunderstorm Wind,56.00, ,0,0,0,0,MI,EST-5,EG,8908,C,161,DTX,0,0,Emergency Manager, , , ,4,N,4,N,DEXTER,42.3878,-83.87,42.3878,-83.87,2
50818,WASHTENAW CO.,WHITMORE LAKE,07/19/2007,1440,Thunderstorm Wind,65.00, ,0,0,25000,0,MI,EST-5,EG,8908,C,161,DTX,0,0,Emergency Manager, , , ,0,N,0,N,WHITMORE LAKE,42.42,-83.75,42.42,-83.75,3
50810,WASHTENAW CO.,SALEM,07/19/2007,1445,Thunderstorm Wind,58.00, ,0,0,0,0,MI,EST-5,EG,8908,C,161,DTX,0,0,Emergency Manager, , , ,0,N,0,N,SALEM,42.4,-83.57,42.4,-83.57,4
50890,WASHTENAW CO.,SALINE,07/26/2007,2118,Hail,1.50, ,0,0,0,0,MI,EST-5, ,8928,C,161,DTX,0,0,Trained Spotter, , , ,4,N,4,N,SALINE,42.2278,-83.77,42.2278,-83.77,5
50896,WASHTENAW CO.,SALINE,07/26/2007,2118,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,8928,C,161,DTX,0,0,Trained Spotter, , , ,4,W,4,W,SALINE,42.17,-83.848,42.17,-83.848,6
50891,WASHTENAW CO.,SALINE,07/26/2007,2120,Hail,0.88, ,0,0,0,0,MI,EST-5, ,8928,C,161,DTX,0,0,Law Enforcement, , , ,1,NW,1,NW,SALINE,42.1788,-83.7819,42.1788,-83.7819,7
50897,WASHTENAW CO.,SALINE,07/26/2007,2135,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,8928,C,161,DTX,0,0,Law Enforcement, , , ,7,E,7,E,SALINE,42.17,-83.6335,42.17,-83.6335,8
50934,WASHTENAW CO.,MILAN,07/26/2007,2135,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,8928,C,161,DTX,0,0,Trained Spotter, , , ,5,NE,5,NE,MILAN,42.1311,-83.6011,42.1311,-83.6011,9
50892,WASHTENAW CO.,WHITTAKER,07/26/2007,2135,Hail,0.75, ,0,0,0,0,MI,EST-5, ,8928,C,161,DTX,0,0,Amateur Radio, , , ,1,NW,1,NW,WHITTAKER,42.1388,-83.6119,42.1388,-83.6119,10
50893,WASHTENAW CO.,WHITTAKER,07/26/2007,2143,Hail,0.75, ,0,0,0,0,MI,EST-5, ,8928,C,161,DTX,0,0,Trained Spotter, , , ,1,N,1,N,WHITTAKER,42.14,-83.6,42.14,-83.6,11
53221,WASHTENAW CO.,CHELSEA,08/07/2007,1921,Thunderstorm Wind,55.00, ,0,0,0,0,MI,EST-5,EG,9459,C,161,DTX,0,0,Trained Spotter, , , ,0,S,0,S,CHELSEA,42.32,-84.02,42.32,-84.02,12
53222,WASHTENAW CO.,CHELSEA,08/07/2007,1923,Thunderstorm Wind,55.00, ,0,0,0,0,MI,EST-5,EG,9459,C,161,DTX,0,0,Law Enforcement, , , ,0,S,0,S,CHELSEA,42.32,-84.02,42.32,-84.02,13
53223,WASHTENAW CO.,CHELSEA,08/07/2007,1932,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,9459,C,161,DTX,0,0,Trained Spotter, , , ,2,E,2,E,CHELSEA,42.32,-83.9809,42.32,-83.9809,14
53315,WASHTENAW CO.,ANN ARBOR,08/23/2007,1908,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,9464,C,161,DTX,0,0,Trained Spotter, , , ,1,W,1,W,ANN ARBOR,42.28,-83.7495,42.28,-83.7495,15
53304,WASHTENAW CO.,SALEM,08/23/2007,1929,Thunderstorm Wind,54.00, ,0,0,0,0,MI,EST-5,EG,9464,C,161,DTX,0,0,Public, , , ,0,NW,0,NW,SALEM,42.4,-83.57,42.4,-83.57,16
59149,WASHTENAW CO.,CHELSEA,08/24/2007,1630,Thunderstorm Wind,57.00, ,0,0,25000,0,MI,EST-5,EG,10150,C,161,DTX,0,0,Newspaper, , , ,5,N,5,N,CHELSEA,42.3851,-84.02,42.3851,-84.02,17
58000,WASHTENAW CO.,SALEM,08/24/2007,1702,Tornado, ,EF0,0,0,500000,0,MI,EST-5, ,10150,C,161,DTX,0,0,NWS Storm Survey, ,2.47,50,2,WNW,2,N,SALEM,42.4133,-83.6134,42.4289,-83.57,18
57112,WASHTENAW CO.,SALEM,08/29/2007,1740,Thunderstorm Wind,56.00, ,0,0,0,0,MI,EST-5,EG,10277,C,161,DTX,0,0,Law Enforcement, , , ,2,N,2,N,SALEM,42.4289,-83.57,42.4289,-83.57,19
73233,WASHTENAW (ZONE), ,12/11/2007,900,Winter Weather, , ,0,0,0,0,MI,EST-5, ,13196,Z,75,DTX,0,1,Newspaper, , , , , , , , , , , , ,20
73122,WASHTENAW (ZONE), ,12/16/2007,0,Winter Storm, , ,0,0,0,0,MI,EST-5, ,13002,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,21
72464,WASHTENAW (ZONE), ,12/23/2007,700,High Wind,50.00, ,0,0,35000,0,MI,EST-5,EG,12701,Z,75,DTX,0,0,Newspaper, , , , , , , , , , , , ,22
73521,WASHTENAW (ZONE), ,01/01/2008,0,Winter Storm, , ,0,0,0,0,MI,EST-5, ,13236,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,23
75280,WASHTENAW CO.,ANN ARBOR,01/07/2008,2240,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,13506,C,161,DTX,0,0,Trained Spotter, , , ,0,N,0,N,ANN ARBOR,42.28,-83.73,42.28,-83.73,24
75276,WASHTENAW CO.,SALEM,01/07/2008,2254,Thunderstorm Wind,56.00, ,0,0,8000,0,MI,EST-5,EG,13506,C,161,DTX,0,0,Law Enforcement, , , ,1,NW,1,NW,SALEM,42.41,-83.58,42.41,-83.58,25
79252,WASHTENAW (ZONE), ,02/01/2008,100,Heavy Snow, , ,0,0,0,0,MI,EST-5, ,14105,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,26
79280,WASHTENAW (ZONE), ,02/06/2008,1100,Winter Storm, , ,0,0,0,0,MI,EST-5, ,14116,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,27
79285,WASHTENAW (ZONE), ,02/12/2008,1400,Heavy Snow, , ,0,0,0,0,MI,EST-5, ,14118,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,28
79372,WASHTENAW (ZONE), ,02/29/2008,500,Heavy Snow, , ,0,0,0,0,MI,EST-5, ,14132,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,29
86736,WASHTENAW (ZONE), ,03/04/2008,1600,Heavy Snow, , ,0,0,0,0,MI,EST-5, ,15248,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,30
90164,WASHTENAW (ZONE), ,03/21/2008,800,Heavy Snow, , ,0,0,0,0,MI,EST-5, ,15743,Z,75,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,31
95768,WASHTENAW CO.,DOVER,05/17/2008,1815,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,16598,C,161,DTX,0,0,Trained Spotter, , , ,1,E,1,E,DOVER,42.4,-83.88,42.4,-83.88,32
95772,WASHTENAW CO.,SALEM,05/17/2008,1830,Thunderstorm Wind,52.00, ,0,0,0,0,MI,EST-5,EG,16598,C,161,DTX,0,0,Trained Spotter, , , ,1,NW,1,NW,SALEM,42.41,-83.58,42.41,-83.58,33
110656,WASHTENAW CO.,HUDSON MILLS,06/08/2008,1546,Thunderstorm Wind,56.00, ,0,0,10000,0,MI,EST-5,EG,18794,C,161,DTX,0,0,Trained Spotter, , , ,2,SSE,2,SSE,HUDSON MILLS,42.35,-83.91,42.35,-83.91,34
